kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_kepmag
3246984,K00799.01,,FALSE POSITIVE,FALSE POSITIVE,0.773,0,0,1,0,1.626630225,169.820171,1.26,2.1145,1.6206e+03,32.43,1547,1355.88,103.6,1,664,1,q1_q17_dr25_tce,5735,4.41,-0.18,0.973,0.889,,15.279
3342970,K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.711504086,170.03417,0.023,3.0099,8.3750e+02,3.12,1420,960.79,64.5,2,494,1,q1_q17_dr25_tce,6214,4.442,0.07,1.076,1.169,,15.541
3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,1,0,0,0,0,7.21203748,172.81782,0.012,4.0491,9.5040e+02,3.32,1025,260.58,51.5,2,165,2,q1_q17_dr25_tce,6214,4.442,0.07,1.076,1.169,,15.541
12459725,K00789.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,14.1798187,171.50237,0.1601,2.505,4.5990e+02,1.88,711,60.35,11.2,1,,,,5799,4.539,-0.1,0.878,0.975,,15.727
12470844,K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.47237911,174.16212,0.022,2.7245,1.1235e+03,2.59,751,75.44,47.6,2,159,1,q1_q17_dr25_tce,5354,4.587,-0.08,0.788,0.884,,15.339
12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,0.989,0,0,0,0,60.4189369,181.16367,0.094,5.039,9.3130e+02,2.36,390,5.49,20.1,2,22,2,q1_q17_dr25_tce,5354,4.587,-0.08,0.788,0.884,,15.339
12644822,K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,1,0,0,0,0,12.61190435,180.892284,0.55,5.1497,6.1056e+03,7.4,753,76.15,277.2,1,104,1,q1_q17_dr25_tce,5795,4.508,-0.02,0.919,0.992,,15.14
2440757,K00792.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.433769925,170.403536,1.268,1.8868,1.9763e+03,46.58,1920,3209.29,112.6,1,481,1,q1_q17_dr25_tce,6017,4.22,0.02,1.339,1.083,,15.122
2445129,K00793.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,10.31872301,173.31543,1.215,3.836,8.7170e+02,28.59,876,139.26,38.2,1,130,1,q1_q17_dr25_tce,5927,4.409,0.07,1.06,1.05,,15.065
2713049,K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.539183147,169.67494,0.238,2.4282,3.8210e+02,2.06,1332,743.09,38.9,1,528,1,q1_q17_dr25_tce,5519,4.35,0.14,1.062,0.921,,15.026
